result_id,paper_location,claim_family,dataset,stream,regime,rule,comparator,metric,value,comparator_value,delta,ci_low,ci_high,unit,seed,provenance_status,evidence_record_id,notes
t5_yolov12l_ucov_dial,Table V,joint risk,COCO,YOLOv12-L,standard,DIAL-Full,,Ucov,0.09,,,,,bounded loss UCB,,reported_in_article,,
t5_dfinel_ap,Table V,global allocation,COCO,D-FINE-L,standard,DIAL-Full,matched local,AP,54.89,54.5,0.39,0.17,0.61,points,,reported_in_article,,AP; current query
t5_dfinel_uniquegtcov_delta,Table V,global allocation,COCO,D-FINE-L,standard,DIAL-Full,matched local,UniqueGT-Cov delta,0.7,,,,,percentage points,,reported_in_article,,current query
t5_dfinel_udup_local,Table V,joint risk,COCO,D-FINE-L,standard,matched local,,Udup,0.048,,,,,bounded loss UCB,,reported_in_article,,
t5_dfinel_udup_dial,Table V,joint risk,COCO,D-FINE-L,standard,DIAL-Full,,Udup,0.045,,,,,bounded loss UCB,,reported_in_article,,
t5_dfinel_ucov_local,Table V,joint risk,COCO,D-FINE-L,standard,matched local,,Ucov,0.096,,,,,bounded loss UCB,,reported_in_article,,
t5_dfinel_ucov_dial,Table V,joint risk,COCO,D-FINE-L,standard,DIAL-Full,,Ucov,0.09,,,,,bounded loss UCB,,reported_in_article,,
t5_deimdfinel_ap,Table V,global allocation,COCO,DEIM-D-FINE-L,standard,DIAL-Full,matched local,AP,55.48,55.13,0.35,0.14,0.56,points,,reported_in_article,,AP; 2025 matching frontier
t5_deimdfinel_uniquegtcov_delta,Table V,global allocation,COCO,DEIM-D-FINE-L,standard,DIAL-Full,matched local,UniqueGT-Cov delta,0.6,,,,,percentage points,,reported_in_article,,2025 matching frontier
t5_deimdfinel_udup_local,Table V,joint risk,COCO,DEIM-D-FINE-L,standard,matched local,,Udup,0.047,,,,,bounded loss UCB,,reported_in_article,,
t5_deimdfinel_udup_dial,Table V,joint risk,COCO,DEIM-D-FINE-L,standard,DIAL-Full,,Udup,0.044,,,,,bounded loss UCB,,reported_in_article,,
t5_deimdfinel_ucov_local,Table V,joint risk,COCO,DEIM-D-FINE-L,standard,matched local,,Ucov,0.095,,,,,bounded loss UCB,,reported_in_article,,
t5_deimdfinel_ucov_dial,Table V,joint risk,COCO,DEIM-D-FINE-L,standard,DIAL-Full,,Ucov,0.089,,,,,bounded loss UCB,,reported_in_article,,
t5_dinor50_ap,Table V,global allocation,COCO,DINO-R50,standard,DIAL-Full,matched local,AP,53.22,52.91,0.31,0.05,0.57,points,,reported_in_article,,AP; smallest residual headroom
t5_dinor50_uniquegtcov_delta,Table V,global allocation,COCO,DINO-R50,standard,DIAL-Full,matched local,UniqueGT-Cov delta,0.5,,,,,percentage points,,reported_in_article,,smallest residual headroom
t5_dinor50_udup_local,Table V,joint risk,COCO,DINO-R50,standard,matched local,,Udup,0.048,,,,,bounded loss UCB,,reported_in_article,,
t5_dinor50_udup_dial,Table V,joint risk,COCO,DINO-R50,standard,DIAL-Full,,Udup,0.046,,,,,bounded loss UCB,,reported_in_article,,
t5_dinor50_ucov_local,Table V,joint risk,COCO,DINO-R50,standard,matched local,,Ucov,0.096,,,,,bounded loss UCB,,reported_in_article,,
t5_dinor50_ucov_dial,Table V,joint risk,COCO,DINO-R50,standard,DIAL-Full,,Ucov,0.092,,,,,bounded loss UCB,,reported_in_article,,
t5_fasterr50_ap,Table V,global allocation,COCO,Faster R-CNN-R50,proposal-output,DIAL-Full,matched local,AP,41.01,40.63,0.38,0.14,0.62,points,,reported_in_article,,AP; proposal-output stream
t5_fasterr50_uniquegtcov_delta,Table V,global allocation,COCO,Faster R-CNN-R50,proposal-output,DIAL-Full,matched local,UniqueGT-Cov delta,0.8,,,,,percentage points,,reported_in_article,,proposal-output stream
t5_fasterr50_udup_local,Table V,joint risk,COCO,Faster R-CNN-R50,proposal-output,matched local,,Udup,0.049,,,,,bounded loss UCB,,reported_in_article,,
t5_fasterr50_udup_dial,Table V,joint risk,COCO,Faster R-CNN-R50,proposal-output,DIAL-Full,,Udup,0.046,,,,,bounded loss UCB,,reported_in_article,,
t5_fasterr50_ucov_local,Table V,joint risk,COCO,Faster R-CNN-R50,proposal-output,matched local,,Ucov,0.098,,,,,bounded loss UCB,,reported_in_article,,
t5_fasterr50_ucov_dial,Table V,joint risk,COCO,Faster R-CNN-R50,proposal-output,DIAL-Full,,Ucov,0.09,,,,,bounded loss UCB,,reported_in_article,,
t5_highpressure_ap,Table V,global allocation,COCO,YOLOv8n,top pressure quintile,DIAL-Full,matched local,AP,35.58,34.18,1.4,0.91,1.89,points,,reported_in_article,,AP; predeclared slice
t5_highpressure_uniquegtcov_delta,Table V,global allocation,COCO,YOLOv8n,top pressure quintile,DIAL-Full,matched local,UniqueGT-Cov delta,1.6,,,,,percentage points,,reported_in_article,,predeclared slice
t5_highpressure_udup_local,Table V,joint risk,COCO,YOLOv8n,top pressure quintile,matched local,,Udup,0.05,,,,,bounded loss UCB,,reported_in_article,,
t5_highpressure_udup_dial,Table V,joint risk,COCO,YOLOv8n,top pressure quintile,DIAL-Full,,Udup,0.045,,,,,bounded loss UCB,,reported_in_article,,
t5_highpressure_ucov_local,Table V,joint risk,COCO,YOLOv8n,top pressure quintile,matched local,,Ucov,0.1,,,,,bounded loss UCB,,reported_in_article,,
t5_highpressure_ucov_dial,Table V,joint risk,COCO,YOLOv8n,top pressure quintile,DIAL-Full,,Ucov,0.084,,,,,bounded loss UCB,,reported_in_article,,
t5_crowdhuman_ap,Table V,global allocation,CrowdHuman,R50 person stream,crowd,DIAL-Full,matched local,AP,88.23,87.35,0.88,0.39,1.37,points,,reported_in_article,,AP; primary crowd
t5_crowdhuman_uniquegtcov_delta,Table V,global allocation,CrowdHuman,R50 person stream,crowd,DIAL-Full,matched local,UniqueGT-Cov delta,1.3,,,,,percentage points,,reported_in_article,,primary crowd
t5_crowdhuman_udup_local,Table V,joint risk,CrowdHuman,R50 person stream,crowd,matched local,,Udup,0.049,,,,,bounded loss UCB,,reported_in_article,,
t5_crowdhuman_udup_dial,Table V,joint risk,CrowdHuman,R50 person stream,crowd,DIAL-Full,,Udup,0.044,,,,,bounded loss UCB,,reported_in_article,,
t5_crowdhuman_ucov_local,Table V,joint risk,CrowdHuman,R50 person stream,crowd,matched local,,Ucov,0.098,,,,,bounded loss UCB,,reported_in_article,,
t5_crowdhuman_ucov_dial,Table V,joint risk,CrowdHuman,R50 person stream,crowd,DIAL-Full,,Ucov,0.083,,,,,bounded loss UCB,,reported_in_article,,
t5_citypersons_mr2,Table V,global allocation,CityPersons,person stream,crowd,DIAL-Full,matched local,MR-2,11.07,11.9,-0.83,-1.32,-0.34,percentage points,,reported_in_article,,MR-2; miss-rate control
t5_citypersons_uniquegtcov_delta,Table V,global allocation,CityPersons,person stream,crowd,DIAL-Full,matched local,UniqueGT-Cov delta,0.9,,,,,percentage points,,reported_in_article,,miss-rate control
t5_citypersons_udup_local,Table V,joint risk,CityPersons,person stream,crowd,matched local,,Udup,0.049,,,,,bounded loss UCB,,reported_in_article,,
t5_citypersons_udup_dial,Table V,joint risk,CityPersons,person stream,crowd,DIAL-Full,,Udup,0.045,,,,,bounded loss UCB,,reported_in_article,,
t5_citypersons_ucov_local,Table V,joint risk,CityPersons,person stream,crowd,matched local,,Ucov,0.098,,,,,bounded loss UCB,,reported_in_article,,
t5_citypersons_ucov_dial,Table V,joint risk,CityPersons,person stream,crowd,DIAL-Full,,Ucov,0.087,,,,,bounded loss UCB,,reported_in_article,,
t6_yolov8n_ap,Table VI,standard metric ledger,COCO,YOLOv8n,standard,DIAL-Full,matched local,AP,39.62,39.0,0.62,,,points,,reported_in_article,,
t6_yolov8n_ap50,Table VI,standard metric ledger,COCO,YOLOv8n,standard,DIAL-Full,matched local,AP50,57.4,56.7,0.7,,,points,,reported_in_article,,
t6_yolov8n_ap75,Table VI,standard metric ledger,COCO,YOLOv8n,standard,DIAL-Full,matched local,AP75,42.9,42.2,0.7,,,points,,reported_in_article,,
t6_yolov8n_aps,Table VI,standard metric ledger,COCO,YOLOv8n,standard,DIAL-Full,matched local,APS,22.3,21.8,0.5,,,points,,reported_in_article,,
t6_yolov8n_apm,Table VI,standard metric ledger,COCO,YOLOv8n,standard,DIAL-Full,matched local,APM,43.1,42.4,0.7,,,points,,reported_in_article,,
t6_yolov8n_apl,Table VI,standard metric ledger,COCO,YOLOv8n,standard,DIAL-Full,matched local,APL,51.5,50.8,0.7,,,points,,reported_in_article,,
t6_yolov8n_ar100,Table VI,standard metric ledger,COCO,YOLOv8n,standard,DIAL-Full,matched local,AR100,57.0,56.1,0.9,,,points,,reported_in_article,,
t6_yolov12l_ap,Table VI,standard metric ledger,COCO,YOLOv12-L,standard,DIAL-Full,matched local,AP,54.86,54.45,0.41,,,points,,reported_in_article,,
t6_yolov12l_ap50,Table VI,standard metric ledger,COCO,YOLOv12-L,standard,DIAL-Full,matched local,AP50,72.5,72.1,0.4,,,points,,reported_in_article,,
t6_yolov12l_ap75,Table VI,standard metric ledger,COCO,YOLOv12-L,standard,DIAL-Full,matched local,AP75,60.0,59.5,0.5,,,points,,reported_in_article,,
t6_yolov12l_aps,Table VI,standard metric ledger,COCO,YOLOv12-L,standard,DIAL-Full,matched local,APS,37.2,36.8,0.4,,,points,,reported_in_article,,
t6_yolov12l_apm,Table VI,standard metric ledger,COCO,YOLOv12-L,standard,DIAL-Full,matched local,APM,58.9,58.4,0.5,,,points,,reported_in_article,,
t6_yolov12l_apl,Table VI,standard metric ledger,COCO,YOLOv12-L,standard,DIAL-Full,matched local,APL,70.2,69.7,0.5,,,points,,reported_in_article,,
t6_yolov12l_ar100,Table VI,standard metric ledger,COCO,YOLOv12-L,standard,DIAL-Full,matched local,AR100,70.6,70.0,0.6,,,points,,reported_in_article,,
t6_dfinel_ap,Table VI,standard metric ledger,COCO,D-FINE-L,standard,DIAL-Full,matched local,AP,54.89,54.5,0.39,,,points,,reported_in_article,,
t6_dfinel_ap50,Table VI,standard metric ledger,COCO,D-FINE-L,standard,DIAL-Full,matched local,AP50,72.8,72.4,0.4,,,points,,reported_in_article,,
t6_dfinel_ap75,Table VI,standard metric ledger,COCO,D-FINE-L,standard,DIAL-Full,matched local,AP75,60.1,59.7,0.4,,,points,,reported_in_article,,
t6_dfinel_aps,Table VI,standard metric ledger,COCO,D-FINE-L,standard,DIAL-Full,matched local,APS,37.3,36.9,0.4,,,points,,reported_in_article,,
t6_dfinel_apm,Table VI,standard metric ledger,COCO,D-FINE-L,standard,DIAL-Full,matched local,APM,59.1,58.6,0.5,,,points,,reported_in_article,,
t6_dfinel_apl,Table VI,standard metric ledger,COCO,D-FINE-L,standard,DIAL-Full,matched local,APL,70.3,69.8,0.5,,,points,,reported_in_article,,
t6_dfinel_ar100,Table VI,standard metric ledger,COCO,D-FINE-L,standard,DIAL-Full,matched local,AR100,70.8,70.3,0.5,,,points,,reported_in_article,,
t6_deimdfinel_ap,Table VI,standard metric ledger,COCO,DEIM-D-FINE-L,standard,DIAL-Full,matched local,AP,55.48,55.13,0.35,,,points,,reported_in_article,,
t6_deimdfinel_ap50,Table VI,standard metric ledger,COCO,DEIM-D-FINE-L,standard,DIAL-Full,matched local,AP50,73.6,73.2,0.4,,,points,,reported_in_article,,
t6_deimdfinel_ap75,Table VI,standard metric ledger,COCO,DEIM-D-FINE-L,standard,DIAL-Full,matched local,AP75,61.0,60.6,0.4,,,points,,reported_in_article,,
t6_deimdfinel_aps,Table VI,standard metric ledger,COCO,DEIM-D-FINE-L,standard,DIAL-Full,matched local,APS,38.1,37.7,0.4,,,points,,reported_in_article,,
t6_deimdfinel_apm,Table VI,standard metric ledger,COCO,DEIM-D-FINE-L,standard,DIAL-Full,matched local,APM,59.7,59.3,0.4,,,points,,reported_in_article,,
t6_deimdfinel_apl,Table VI,standard metric ledger,COCO,DEIM-D-FINE-L,standard,DIAL-Full,matched local,APL,70.9,70.5,0.4,,,points,,reported_in_article,,
t6_deimdfinel_ar100,Table VI,standard metric ledger,COCO,DEIM-D-FINE-L,standard,DIAL-Full,matched local,AR100,71.5,71.0,0.5,,,points,,reported_in_article,,
t6_dinor50_ap,Table VI,standard metric ledger,COCO,DINO-R50,standard,DIAL-Full,matched local,AP,53.22,52.91,0.31,,,points,,reported_in_article,,
t6_dinor50_ap50,Table VI,standard metric ledger,COCO,DINO-R50,standard,DIAL-Full,matched local,AP50,70.8,70.5,0.3,,,points,,reported_in_article,,
t6_dinor50_ap75,Table VI,standard metric ledger,COCO,DINO-R50,standard,DIAL-Full,matched local,AP75,58.2,57.8,0.4,,,points,,reported_in_article,,
t6_dinor50_aps,Table VI,standard metric ledger,COCO,DINO-R50,standard,DIAL-Full,matched local,APS,35.3,35.0,0.3,,,points,,reported_in_article,,
t6_dinor50_apm,Table VI,standard metric ledger,COCO,DINO-R50,standard,DIAL-Full,matched local,APM,57.3,56.9,0.4,,,points,,reported_in_article,,
t6_dinor50_apl,Table VI,standard metric ledger,COCO,DINO-R50,standard,DIAL-Full,matched local,APL,68.4,68.1,0.3,,,points,,reported_in_article,,
t6_dinor50_ar100,Table VI,standard metric ledger,COCO,DINO-R50,standard,DIAL-Full,matched local,AR100,69.2,68.8,0.4,,,points,,reported_in_article,,
t6_fasterrcnnr50_ap,Table VI,standard metric ledger,COCO,Faster R-CNN-R50,standard,DIAL-Full,matched local,AP,41.01,40.63,0.38,,,points,,reported_in_article,,
t6_fasterrcnnr50_ap50,Table VI,standard metric ledger,COCO,Faster R-CNN-R50,standard,DIAL-Full,matched local,AP50,61.5,61.0,0.5,,,points,,reported_in_article,,
t6_fasterrcnnr50_ap75,Table VI,standard metric ledger,COCO,Faster R-CNN-R50,standard,DIAL-Full,matched local,AP75,44.4,44.0,0.4,,,points,,reported_in_article,,
t6_fasterrcnnr50_aps,Table VI,standard metric ledger,COCO,Faster R-CNN-R50,standard,DIAL-Full,matched local,APS,24.5,24.1,0.4,,,points,,reported_in_article,,
t6_fasterrcnnr50_apm,Table VI,standard metric ledger,COCO,Faster R-CNN-R50,standard,DIAL-Full,matched local,APM,44.7,44.2,0.5,,,points,,reported_in_article,,
t6_fasterrcnnr50_apl,Table VI,standard metric ledger,COCO,Faster R-CNN-R50,standard,DIAL-Full,matched local,APL,52.9,52.4,0.5,,,points,,reported_in_article,,
t6_fasterrcnnr50_ar100,Table VI,standard metric ledger,COCO,Faster R-CNN-R50,standard,DIAL-Full,matched local,AR100,58.8,58.2,0.6,,,points,,reported_in_article,,
t7_yolov12l_seed1,Table VII,seed-aware inference,COCO,YOLOv12-L,primary,DIAL-Full minus local,,AP delta,0.34,,,,,points,1,reported_in_article,,
t7_yolov12l_seed2,Table VII,seed-aware inference,COCO,YOLOv12-L,primary,DIAL-Full minus local,,AP delta,0.46,,,,,points,2,reported_in_article,,
t7_yolov12l_seed3,Table VII,seed-aware inference,COCO,YOLOv12-L,primary,DIAL-Full minus local,,AP delta,0.39,,,,,points,3,reported_in_article,,
t7_yolov12l_seed4,Table VII,seed-aware inference,COCO,YOLOv12-L,primary,DIAL-Full minus local,,AP delta,0.44,,,,,points,4,reported_in_article,,
t7_yolov12l_seed5,Table VII,seed-aware inference,COCO,YOLOv12-L,primary,DIAL-Full minus local,,AP delta,0.42,,,,,points,5,reported_in_article,,
t7_yolov12l_mean,Table VII,seed-aware inference,COCO,YOLOv12-L,primary,DIAL-Full minus local,,mean AP delta,0.41,,,0.2,0.62,points,,reported_in_article,,sd=0.05
t7_dfinel_seed1,Table VII,seed-aware inference,COCO,D-FINE-L,primary,DIAL-Full minus local,,AP delta,0.31,,,,,points,1,reported_in_article,,
t7_dfinel_seed2,Table VII,seed-aware inference,COCO,D-FINE-L,primary,DIAL-Full minus local,,AP delta,0.44,,,,,points,2,reported_in_article,,
t7_dfinel_seed3,Table VII,seed-aware inference,COCO,D-FINE-L,primary,DIAL-Full minus local,,AP delta,0.36,,,,,points,3,reported_in_article,,
t7_dfinel_seed4,Table VII,seed-aware inference,COCO,D-FINE-L,primary,DIAL-Full minus local,,AP delta,0.43,,,,,points,4,reported_in_article,,
t7_dfinel_seed5,Table VII,seed-aware inference,COCO,D-FINE-L,primary,DIAL-Full minus local,,AP delta,0.41,,,,,points,5,reported_in_article,,
t7_dfinel_mean,Table VII,seed-aware inference,COCO,D-FINE-L,primary,DIAL-Full minus local,,mean AP delta,0.39,,,0.17,0.61,points,,reported_in_article,,sd=0.05
t7_deimdfinel_seed1,Table VII,seed-aware inference,COCO,DEIM-D-FINE-L,primary,DIAL-Full minus local,,AP delta,0.28,,,,,points,1,reported_in_article,,
t7_deimdfinel_seed2,Table VII,seed-aware inference,COCO,DEIM-D-FINE-L,primary,DIAL-Full minus local,,AP delta,0.4,,,,,points,2,reported_in_article,,
t7_deimdfinel_seed3,Table VII,seed-aware inference,COCO,DEIM-D-FINE-L,primary,DIAL-Full minus local,,AP delta,0.33,,,,,points,3,reported_in_article,,
t7_deimdfinel_seed4,Table VII,seed-aware inference,COCO,DEIM-D-FINE-L,primary,DIAL-Full minus local,,AP delta,0.39,,,,,points,4,reported_in_article,,
t7_deimdfinel_seed5,Table VII,seed-aware inference,COCO,DEIM-D-FINE-L,primary,DIAL-Full minus local,,AP delta,0.35,,,,,points,5,reported_in_article,,
t7_deimdfinel_mean,Table VII,seed-aware inference,COCO,DEIM-D-FINE-L,primary,DIAL-Full minus local,,mean AP delta,0.35,,,0.14,0.56,points,,reported_in_article,,sd=0.05
t7_dinor50_seed1,Table VII,seed-aware inference,COCO,DINO-R50,primary,DIAL-Full minus local,,AP delta,0.2,,,,,points,1,reported_in_article,,
t7_dinor50_seed2,Table VII,seed-aware inference,COCO,DINO-R50,primary,DIAL-Full minus local,,AP delta,0.38,,,,,points,2,reported_in_article,,
t7_dinor50_seed3,Table VII,seed-aware inference,COCO,DINO-R50,primary,DIAL-Full minus local,,AP delta,0.29,,,,,points,3,reported_in_article,,
t7_dinor50_seed4,Table VII,seed-aware inference,COCO,DINO-R50,primary,DIAL-Full minus local,,AP delta,0.35,,,,,points,4,reported_in_article,,
t7_dinor50_seed5,Table VII,seed-aware inference,COCO,DINO-R50,primary,DIAL-Full minus local,,AP delta,0.33,,,,,points,5,reported_in_article,,
t7_dinor50_mean,Table VII,seed-aware inference,COCO,DINO-R50,primary,DIAL-Full minus local,,mean AP delta,0.31,,,0.05,0.57,points,,reported_in_article,,sd=0.07
t7_fasterrcnnr50_seed1,Table VII,seed-aware inference,COCO,Faster R-CNN-R50,primary,DIAL-Full minus local,,AP delta,0.3,,,,,points,1,reported_in_article,,
t7_fasterrcnnr50_seed2,Table VII,seed-aware inference,COCO,Faster R-CNN-R50,primary,DIAL-Full minus local,,AP delta,0.42,,,,,points,2,reported_in_article,,
t7_fasterrcnnr50_seed3,Table VII,seed-aware inference,COCO,Faster R-CNN-R50,primary,DIAL-Full minus local,,AP delta,0.33,,,,,points,3,reported_in_article,,
t7_fasterrcnnr50_seed4,Table VII,seed-aware inference,COCO,Faster R-CNN-R50,primary,DIAL-Full minus local,,AP delta,0.46,,,,,points,4,reported_in_article,,
t7_fasterrcnnr50_seed5,Table VII,seed-aware inference,COCO,Faster R-CNN-R50,primary,DIAL-Full minus local,,AP delta,0.39,,,,,points,5,reported_in_article,,
t7_fasterrcnnr50_mean,Table VII,seed-aware inference,COCO,Faster R-CNN-R50,primary,DIAL-Full minus local,,mean AP delta,0.38,,,0.14,0.62,points,,reported_in_article,,sd=0.06
t7_crowdhuman_seed1,Table VII,seed-aware inference,CrowdHuman,CrowdHuman,primary,DIAL-Full minus local,,AP delta,0.71,,,,,points,1,reported_in_article,,
t7_crowdhuman_seed2,Table VII,seed-aware inference,CrowdHuman,CrowdHuman,primary,DIAL-Full minus local,,AP delta,0.96,,,,,points,2,reported_in_article,,
t7_crowdhuman_seed3,Table VII,seed-aware inference,CrowdHuman,CrowdHuman,primary,DIAL-Full minus local,,AP delta,0.8,,,,,points,3,reported_in_article,,
t7_crowdhuman_seed4,Table VII,seed-aware inference,CrowdHuman,CrowdHuman,primary,DIAL-Full minus local,,AP delta,1.02,,,,,points,4,reported_in_article,,
t7_crowdhuman_seed5,Table VII,seed-aware inference,CrowdHuman,CrowdHuman,primary,DIAL-Full minus local,,AP delta,0.91,,,,,points,5,reported_in_article,,
t7_crowdhuman_mean,Table VII,seed-aware inference,CrowdHuman,CrowdHuman,primary,DIAL-Full minus local,,mean AP delta,0.88,,,0.39,1.37,points,,reported_in_article,,sd=0.12
t8_matched_local_ap,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,matched local,,AP,87.35,,,,,points,,reported_in_article,,strongest independent keep/reject
t8_matched_local_uniquegtcov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,matched local,,UniqueGT-Cov,82.0,,,,,percent,,reported_in_article,,strongest independent keep/reject
t8_matched_local_udup,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,matched local,,Udup,0.049,,,,,bounded loss UCB,,reported_in_article,,strongest independent keep/reject
t8_matched_local_ucov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,matched local,,Ucov,0.098,,,,,bounded loss UCB,,reported_in_article,,strongest independent keep/reject
t8_matched_local_decoderlatency,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,matched local,,decoder latency,2.1,,,,,ms/image,,reported_in_article,,strongest independent keep/reject
t8_iou_cal_2024_ap,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,iou cal 2024,,AP,87.48,,,,,points,,reported_in_article,,calibrated NMS-free rescoring
t8_iou_cal_2024_uniquegtcov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,iou cal 2024,,UniqueGT-Cov,82.2,,,,,percent,,reported_in_article,,calibrated NMS-free rescoring
t8_iou_cal_2024_udup,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,iou cal 2024,,Udup,0.048,,,,,bounded loss UCB,,reported_in_article,,calibrated NMS-free rescoring
t8_iou_cal_2024_ucov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,iou cal 2024,,Ucov,0.096,,,,,bounded loss UCB,,reported_in_article,,calibrated NMS-free rescoring
t8_iou_cal_2024_decoderlatency,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,iou cal 2024,,decoder latency,1.35,,,,,ms/image,,reported_in_article,,calibrated NMS-free rescoring
t8_cp_cluster_2022_ap,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,cp cluster 2022,,AP,87.6,,,,,points,,reported_in_article,,iterative confidence propagation
t8_cp_cluster_2022_uniquegtcov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,cp cluster 2022,,UniqueGT-Cov,82.4,,,,,percent,,reported_in_article,,iterative confidence propagation
t8_cp_cluster_2022_udup,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,cp cluster 2022,,Udup,0.048,,,,,bounded loss UCB,,reported_in_article,,iterative confidence propagation
t8_cp_cluster_2022_ucov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,cp cluster 2022,,Ucov,0.095,,,,,bounded loss UCB,,reported_in_article,,iterative confidence propagation
t8_cp_cluster_2022_decoderlatency,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,cp cluster 2022,,decoder latency,2.6,,,,,ms/image,,reported_in_article,,iterative confidence propagation
t8_otp_2023_ap,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,otp 2023,,AP,87.7,,,,,points,,reported_in_article,,visibility-conditioned threshold
t8_otp_2023_uniquegtcov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,otp 2023,,UniqueGT-Cov,82.6,,,,,percent,,reported_in_article,,visibility-conditioned threshold
t8_otp_2023_udup,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,otp 2023,,Udup,0.047,,,,,bounded loss UCB,,reported_in_article,,visibility-conditioned threshold
t8_otp_2023_ucov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,otp 2023,,Ucov,0.092,,,,,bounded loss UCB,,reported_in_article,,visibility-conditioned threshold
t8_otp_2023_decoderlatency,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,otp 2023,,decoder latency,2.45,,,,,ms/image,,reported_in_article,,visibility-conditioned threshold
t8_seq2seq_2023_ap,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,seq2seq 2023,,AP,87.75,,,,,points,,reported_in_article,,attention-based contextual decision
t8_seq2seq_2023_uniquegtcov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,seq2seq 2023,,UniqueGT-Cov,82.7,,,,,percent,,reported_in_article,,attention-based contextual decision
t8_seq2seq_2023_udup,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,seq2seq 2023,,Udup,0.047,,,,,bounded loss UCB,,reported_in_article,,attention-based contextual decision
t8_seq2seq_2023_ucov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,seq2seq 2023,,Ucov,0.091,,,,,bounded loss UCB,,reported_in_article,,attention-based contextual decision
t8_seq2seq_2023_decoderlatency,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,seq2seq 2023,,decoder latency,3.4,,,,,ms/image,,reported_in_article,,attention-based contextual decision
t8_dpp_ap,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,dpp,,AP,87.64,,,,,points,,reported_in_article,,generic quality-diversity
t8_dpp_uniquegtcov,Table VIII,recent selectors,CrowdHuman,R50 person stream,joint-risk operating family,dpp,,UniqueGT-Cov,82.5,,,,,percent,,reported_in_article,,generic quality-diversity
